"","age","sex","race","country","education","relationship","internet_freq","internet_freq_everyday","gender_male","education_tertiary","relationship_yes","country_ke","country_za","country_ng","completition_minute","total_attention","att_check01","att_check02","att_check03","attention_score","multiple_attempts","order_attempt","sex_educ_exp","attention","PE01","PE02","PE03","FC02","EE01","EE02","SI01","SI02","SI03","SI04","AT01","AT02","AT03","BIU01","BIU02","BII01","BII02","BII03","sexEd_pref","sexEd_acc"
"1",21,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Sometimes",0,0,1,0,1,0,0,17,2,1,0,1,"2","1","1","No",1,6,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,"A public dedicated website","Neutral"
"2",19,"Male","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,1,1,0,1,0,0,6.8,1,0,0,1,"1","1","1","Yes",0,5,5,5,4,6,5,4,2,6,3,4,4,4,6,4,6,3,5,NA,"Perfectly Acceptable"
"3",21,"Female","Black/African","Kenya","< Tertiary","Married/Living with Partner","Sometimes",0,0,0,1,1,0,0,11.7,3,1,1,1,"3","1","1","No",1,7,7,7,4,7,7,5,5,5,5,5,5,5,7,7,7,7,7,"A public dedicated website","Slightly acceptable"
"4",19,"Female","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,1,0,0,11.1,3,1,1,1,"3","1","1","Yes",1,6,6,5,5,6,6,5,5,5,5,5,5,5,5,4,4,4,4,"Mass Media (TV, Radio)","Acceptable"
"5",23,"Female","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Everyday",1,0,1,1,1,0,0,20.2,0,0,0,0,"0","1","1","Yes",0,7,7,7,3,7,6,3,2,3,2,7,6,6,7,2,6,6,5,"A public dedicated website","Perfectly Acceptable"
"6",23,"Male","Black/African","Kenya","Tertiary/Higher","Not married: in a relationship ","Occasionally/Rarely",0,1,1,1,1,0,0,5.8,0,0,0,0,"0","1","1","Yes",0,6,7,4,5,4,5,3,2,2,3,1,1,1,3,2,1,4,7,"Mass Media (TV, Radio)","Perfectly Acceptable"
"7",23,"Female","Black/African","Kenya","< Tertiary","Not married: not in relationship","Everyday",1,0,0,0,1,0,0,18.3,1,1,0,0,"1","1","1","Yes",0,7,7,7,7,7,7,5,5,7,7,7,7,7,5,6,7,7,7,"Social media (Facebook)","Perfectly Acceptable"
"8",24,"Male","Black/African","Kenya","Tertiary/Higher","Married/Living with Partner","Everyday",1,1,1,1,1,0,0,8.7,3,1,1,1,"3","1","1","Yes",1,6,6,6,3,6,5,4,4,3,5,5,2,6,5,5,5,6,5,"A public dedicated website","Perfectly Acceptable"
"9",20,"Female","Black/African","Kenya","< Tertiary","Not married: not in relationship","Everyday",1,0,0,0,1,0,0,19.8,3,1,1,1,"3","1","1","No",1,5,5,5,4,5,5,3,2,3,6,5,3,3,5,5,5,5,5,"A public dedicated website","Slightly Unacceptable"
"10",20,"Female","Black/African","Kenya","Tertiary/Higher","Not married: not in relationship","Everyday",1,0,1,0,1,0,0,10.3,1,0,0,1,"1","1","1","Yes",0,5,5,5,4,3,4,3,4,4,5,5,3,3,5,5,5,5,5,"Social media (Whatsapp)","Acceptable"
